company_id,company_name,founder,established_year,headquarters,industry,number_of_employees,annual_revenue,website,products_string,description
1111111111111111111,Tech Company Inc.,Ivan,2010,"San Francisco, CA",Software,250,5000000,www.techcompany.com,SuperWidget Pro,Software solutions for modern needs.
1111111111111111111,Tech Company Inc.,Ivan,2010,"San Francisco, CA",Software,250,5000000,www.techcompany.com,EcoFriendly Gadget,Software solutions for modern needs.
2222222222222222222,Innovate LLC,Ana,2015,"Austin, TX",Hardware,100,2000000,www.innovate.com,EcoFriendly gadget,Innovative hardware solutions.
2222222222222222222,Innovate LLC,Ana,2015,"Austin, TX",Hardware,100,2000000,www.innovate.com,SmartHome Assistant,Innovative hardware solutions.
3333333333333333333,Future Inc.,Marko,2018,"New York, NY",AI and Machine Learning,75,1500000,www.futureinc.com,SmartHome Assistant,AI solutions for businesses.
4444444444444444444,Green Solutions,Maja,2020,"Seattle, WA",Sustainability,50,800000,www.greensolutions.com,EcoFriendly Gadget,Sustainable tech solutions.
4444444444444444444,Green Solutions,Maja,2020,"Seattle, WA",Sustainability,50,800000,www.greensolutions.com,Portable Charger 10000mAh,Sustainable tech solutions.
5555555555555555555,Digital Innovations Co.,Luka,2022,"Los Angeles, CA",Digital Marketing,30,500000,www.digitalinnovations.com,Gaming Mouse X200,Digital marketing services.
6666666666666666666,NextGen Technologies,Mario,2012,"Chicago, IL",Technology,400,7000000,www.nextgentech.com,Virtual Reality Headset,Innovative solutions for the tech-savvy generation.
6666666666666666666,NextGen Technologies,Mario,2012,"Chicago, IL",Technology,400,7000000,www.nextgentech.com,AI-Powered Drone,Innovative solutions for the tech-savvy generation.
7777777777777777777,HealthPlus,Sara,2016,"Boston, MA",Healthcare,150,3000000,www.healthplus.com,Fitness Tracker Pro,Revolutionizing healthcare through technology.
7777777777777777777,HealthPlus,Sara,2016,"Boston, MA",Healthcare,150,3000000,www.healthplus.com,Smart Medical Kit,Revolutionizing healthcare through technology.
8888888888888888888,EcoTech,Nina,2018,"Portland, OR",Renewable Energy,200,4000000,www.ecotech.com,Solar Panel X100,Leading the way in sustainable energy solutions.
8888888888888888888,EcoTech,Nina,2018,"Portland, OR",Renewable Energy,200,4000000,www.ecotech.com,Wind Turbine Model Z,Leading the way in sustainable energy solutions.
9999999999999999999,CyberGuard,Petar,2014,"Austin, TX",Cybersecurity,350,6000000,www.cyberguard.com,SecureNet Firewall,Protecting businesses with advanced cybersecurity solutions.
9999999999999999999,CyberGuard,Petar,2014,"Austin, TX",Cybersecurity,350,6000000,www.cyberguard.com,Data Protection Suite,Protecting businesses with advanced cybersecurity solutions.
0000000000000000000,SmartHome Solutions,Ana,2021,"Miami, FL",Home Automation,100,2000000,www.smarthomesolutions.com,Automated Lighting System,Transforming homes with smart automation technology.
0000000000000000000,SmartHome Solutions,Ana,2021,"Miami, FL",Home Automation,100,2000000,www.smarthomesolutions.com,Smart Thermostat 2.0,Transforming homes with smart automation technology.
